"Zeit";"Einstrahlung auf die Horizontale ";"Diffusstrahlung auf die Horizontale ";"Außentemperatur ";"Netzeinspeisung ";"Netzbezug ";"Verbrauch ";"Einspeiseabregelung ";"Direkter Eigenverbrauch ";"Eigenverbrauch ";"Ladung des E-Fahrzeugs(PV-Anlage) ";"Ladung des E-Fahrzeugs(Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung ";"Entladen des E-Fahrzeugs ins Netz ";"Verluste durch Laden/Entladen ";"Ladung des E-Fahrzeugs (Gruppe 1) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 1) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 1)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 1)  ";"Verluste durch Laden/Entladen (Gruppe 1)  ";"Ladung des E-Fahrzeugs (Gruppe 2) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 2) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 2)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 2)  ";"Verluste durch Laden/Entladen (Gruppe 2)  ";"Ladung des E-Fahrzeugs (Gruppe 3) (PV-Anlage) ";"Ladung des E-Fahrzeugs (Gruppe 3) (Netz) ";"Entladen des E-Fahrzeugs zur Verbrauchsdeckung (Gruppe 3)  ";"Entladen des E-Fahrzeugs ins Netz (Gruppe 3)  ";"Verluste durch Laden/Entladen (Gruppe 3)  ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 1 ";"Zyklenbelastung (Elektrofahrzeug 1) ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 2 ";"Zyklenbelastung (Elektrofahrzeug 2) ";"Ladezustand (auf C10 bezogen) E-Fahrzeug 3 ";"Zyklenbelastung (Elektrofahrzeug 3) ";"Globalstrahlung horizontal ";"Abweichung vom Standardspektrum ";"Bodenreflexion (Albedo) ";"Ausrichtung und Neigung der Modulebene ";"Abschattung ";"Reflexion an Moduloberfläche ";"Einstrahlung auf die Modul-Rückseite ";"Globalstrahlung auf Modul ";"PV Globalstrahlung ";"Bifazialität ";"Verschmutzung ";"STC Konversion (Modul-Nennwirkungsgrad) ";"PV Nennenergie ";"Schwachlichtverhalten ";"Modulspezifische Teilabschattung ";"Abweichung von der Nenn-Modultemperatur ";"Dioden ";"Mismatch (Herstellerangaben) ";"Mismatch (Verschaltung/Abschattung) ";"Leistungsoptimierer (DC-Wandlung/Abregelung) ";"PV-Energie (DC) ohne Wechselrichter-Abregelung ";"Unterschreitung der DC-Startleistung ";"Abregelung wegen MPP-Spannungsbereich ";"Abregelung wegen max. DC-Strom ";"Abregelung wegen max. DC-Leistung ";"Abregelung wegen max. AC-Leistung/cos phi ";"MPP Anpassung ";"PV-Energie (DC) ";"Energie am WR-Eingang ";"Abweichung der Eingangs- von der Nennspannung ";"DC/AC-Wandlung ";"Eigenverbrauch (Standby oder Nacht) ";"Kabelverluste Gesamt ";"PV-Energie (AC) abzgl. Standby-Verbrauch ";"Eingespeiste Energie ";
;kWh/m²;kWh/m²;°C;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;none;none;none;none;none;none;none;none;none;none;none;none;none;none;none;-;0_1;-;0_1;-;0_1;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh/m²;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;

27.09. 18:00;0,00016;0,0001584;14,8;0;698,73;698,46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,45437;0,034024;0,45437;0,034024;0,51277;0,031865;0,00016;-1,6E-06;1,5444E-06;-7,7194E-06;-2,2694E-06;-7,4972E-06;0;0,00014246;1,269;0;0;-1,0144;0,25457;-0,25457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
27.09. 19:00;0;0;14,28;0;702,09;701,82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,45437;0,034024;0,45437;0,034024;0,51277;0,031865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
27.09. 20:00;0;0;13,74;0;571,33;571,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,45437;0,034024;0,45437;0,034024;0,51277;0,031865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
27.09. 21:00;0;0;13,2;0;572,45;572,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,45437;0,034024;0,45437;0,034024;0,51277;0,031865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
27.09. 22:00;0;0;12,66;0;573,15;572,88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,45437;0,034024;0,45437;0,034024;0,51277;0,031865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
27.09. 23:00;0;0;12,01;0;522,19;521,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,45437;0,034024;0,45437;0,034024;0,51277;0,031865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.09. 00:00;0;0;11,62;0;546,69;546,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,45437;0,034024;0,45437;0,034024;0,51277;0,031865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.09. 01:00;0;0;11,06;0;574,29;574,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,45437;0,034024;0,45437;0,034024;0,51277;0,031865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.09. 02:00;0;0;10,51;0;586,83;586,56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,45437;0,034024;0,45437;0,034024;0,51277;0,031865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.09. 03:00;0;0;10,21;0;577,01;576,74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,45437;0,034024;0,45437;0,034024;0,51277;0,031865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.09. 04:00;0;0;9,91;0;569,63;569,36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,45437;0,034024;0,45437;0,034024;0,51277;0,031865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.09. 05:00;0;0;9,69;0;806,87;806,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,45437;0,034024;0,45437;0,034024;0,51277;0,031865;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.09. 06:00;0,00103;0,0010197;9,67;0;764,89;764,62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,2;0,034216;0,2;0,034216;0,26967;0,032029;0,00103;-1,03E-05;9,9389E-06;-4,9697E-05;-1,4614E-05;-4,8267E-05;0;0,00091706;8,1691;0;0;-6,5302;1,6388;-1,6388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.09. 07:00;0,03216;0,031547;10,08;0;1040,9;718,12;0;0;35,841;35,841;322,77;0;0;7,1723;3,6707E+07;4,383E+08;0;0;9,5002E+06;3,6707E+07;4,383E+08;0;0;9,5002E+06;5,5616E+07;2,8537E+08;0;0;6,8198E+06;0,34601;0,034216;0,34601;0,034216;1;0,032029;0,03216;-0,0003216;0,00031034;-0,0015025;-0,00045118;-0,0016285;0;0,028567;254,47;0;0;-203,41;51,054;-6,2098;-1,1818;2,1815;-4,6883E-05;-0,91688;-0,19459;0;44,732;0;0;0;0;0;-0,13734;44,595;44,595;-0,10246;-8,6512;0;0;35,841;35,841;
28.09. 08:00;0,08108;0,079122;10,66;0;891,92;741,76;0;49,072;113,85;64,775;199,23;0;0;5,2801;1,1659E+08;3,5861E+08;0;0;9,5041E+06;1,1659E+08;3,5861E+08;0;0;9,5041E+06;0;0;0;0;0;0,48741;0,034216;0,48741;0,034216;0,99996;0,032029;0,08108;-0,0008108;0,00078241;-0,0038376;-0,0011294;-0,0040012;0;0,072083;642,11;0;0;-513,29;128,82;-8,5244;-2,9749;5,1113;-0,00012153;-2,4486;-0,58522;0;119,4;0;0;0;0;0;-0,28235;119,12;119,12;-0,32208;-4,9466;0;0;113,85;113,85;
28.09. 09:00;0,09727;0,095409;11,04;0;592,37;731,16;0;138,79;138,79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48739;0,034216;0,48739;0,034216;0,99992;0,032029;0,09727;-0,0009727;0,00093864;-0,004674;-0,0013645;-0,0046277;0;0,08657;771,15;0;0;-616,45;154,7;-8,8846;-3,4191;5,7863;-0,00014751;-2,9637;-0,70178;0;144,52;0;0;0;0;0;-0,30689;144,21;144,21;-0,39171;-5,0329;0;0;138,79;138,79;
28.09. 10:00;0,11989;0,1176;11,38;0;572,81;746,06;0;173,25;173,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48737;0,034216;0,48737;0,034216;0,99988;0,032029;0,11989;-0,0011989;0,0011569;-0,0057871;-0,0016819;-0,00566;0;0,10672;950,64;0;0;-759,93;190,71;-9,1445;-4,1368;6,6363;-0,00018276;-3,6813;-0,85973;0;179,52;0;0;0;0;0;-0,32094;179,2;179,2;-0,49059;-5,4624;0;0;173,25;173,25;
28.09. 11:00;0,12625;0,12386;11,62;0;579,49;762,3;0;182,81;182,81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48735;0,034216;0,48735;0,034216;0,99983;0,032029;0,12625;-0,0012625;0,0012183;-0,0060993;-0,0017717;-0,0059405;0;0,11239;1001,2;0;0;-800,34;200,85;-9,2049;-4,3478;6,7276;-0,00019258;-3,8805;-0,89521;0;189,25;0;0;0;0;0;-0,32065;188,93;188,93;-0,51799;-5,6007;0;0;182,81;182,81;
28.09. 12:00;0,15087;0,1478;11,89;0;492,42;712,7;0;220,28;220,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48733;0,034216;0,48733;0,034216;0,99979;0,032029;0,15087;-0,0015087;0,0014559;-0,0072789;-0,0021127;-0,0070975;0;0,13433;1196,6;0;0;-956,53;240,05;-9,2209;-5,1886;7,4026;-0,00023046;-4,6608;-1,0762;0;227,3;0;0;0;0;0;-0,32885;226,97;226,97;-0,62831;-6,0694;0;0;220,28;220,28;
28.09. 13:00;0,16108;0,15708;12,11;0;466,08;701,78;0;235,7;235,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48731;0,034216;0,48731;0,034216;0,99975;0,032029;0,16108;-0,0016108;0,0015544;-0,0077519;-0,0022416;-0,0076137;0;0,14342;1277,5;0;0;-1021,2;256,29;-9,2033;-5,5273;7,5042;-0,0002446;-4,9812;-1,1477;0;242,93;0;0;0;0;0;-0,32916;242,6;242,6;-0,67483;-6,2317;0;0;235,7;235,7;
28.09. 14:00;0,14741;0,14316;12,22;0;527,58;742,06;0;214,48;214,48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48729;0,034216;0,48729;0,034216;0,99971;0,032029;0,14741;-0,0014741;0,0014225;-0,0070604;-0,00204;-0,0070605;0;0,1312;1168,7;0;0;-934,23;234,46;-9,2876;-5,135;7,0024;-0,00022194;-4,5407;-1,0661;0;221,43;0;0;0;0;0;-0,32809;221,1;221,1;-0,61146;-6,0078;0;0;214,48;214,48;
28.09. 15:00;0,10317;0,1007;12,17;0;592,4;739,38;0;146,98;146,98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48727;0,034216;0,48727;0,034216;0,99967;0,032029;0,10317;-0,0010317;0,00099558;-0,0049295;-0,0014375;-0,0049986;0;0,091768;817,46;0;0;-653,46;164;-9,103;-3,6708;5,4238;-0,00015482;-3,1329;-0,73774;0;152,77;0;0;0;0;0;-0,31229;152,46;152,46;-0,41577;-5,0713;0;0;146,98;146,98;
28.09. 16:00;0,06912;0,067119;11,98;0;590,58;685,22;0;94,635;94,635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48725;0,034216;0,48725;0,034216;0,99963;0,032029;0,06912;-0,0006912;0,000667;-0,003244;-0,00095636;-0,0035741;0;0,061321;546,24;0;0;-436,65;109,59;-8,3088;-2,6121;3,9102;-0,00010159;-2,0516;-0,50327;0;100,03;0;0;0;0;0;-0,25486;99,771;99,771;-0,26442;-4,8717;0;0;94,635;94,635;
28.09. 17:00;0,02172;0,021225;11,12;0;680,64;700,96;0;20,321;20,321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0,02172;-0,0002172;0,00020959;-0,00095104;-0,00030313;-0,0012388;0;0,019219;171,2;0;0;-136,85;34,356;-5,2505;-0,79441;1,3265;-3,0744E-05;-0,59276;-0,12127;0;28,924;0;0;0;0;0;-0,092535;28,831;28,831;-0,061689;-8,4483;0;0;20,321;20,321;
28.09. 18:00;5E-05;4,95E-05;11,05;0;690,05;689,78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;5E-05;-5E-07;4,8333E-07;-2,4111E-06;-7,0833E-07;-2,3417E-06;0;4,4517E-05;0,39656;0;0;-0,317;0,079554;-0,079554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.09. 19:00;0;0;11,07;0;668,81;668,54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.09. 20:00;0;0;11,01;0;637,19;636,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.09. 21:00;0;0;10,84;0;627,25;626,98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.09. 22:00;0;0;10,82;0;590,11;589,84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
28.09. 23:00;0;0;10,72;0;578,75;578,48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.09. 00:00;0;0;10,64;0;601,73;601,46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.09. 01:00;0;0;10,68;0;581,29;581,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.09. 02:00;0;0;11,2;0;552,67;552,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.09. 03:00;0;0;11,29;0;601,93;601,66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.09. 04:00;0;0;11,43;0;583,01;582,74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.09. 05:00;0;0;11,51;0;792,25;791,98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.09. 06:00;0,00093;0,0009207;11,57;0;773,07;772,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0,00093;-9,3E-06;8,975E-06;-4,4872E-05;-1,3194E-05;-4,3581E-05;0;0,00082803;7,3759;0;0;-5,8962;1,4797;-1,4797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.09. 07:00;0,02091;0,020432;11,92;0;759,07;778,3;0;19,23;19,23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0,02091;-0,0002091;0,00020178;-0,00096442;-0,00029224;-0,0010882;0;0,018558;165,31;0;0;-132,14;33,168;-5,188;-0,78197;1,2092;-2,9475E-05;-0,56814;-0,11528;0;27,724;0;-9,5539E-05;0;0;0;-0,089356;27,634;27,634;-0,060031;-8,3435;0;0;19,23;19,23;
29.09. 08:00;0,04445;0,04345;12,48;0;676,94;732,36;0;55,419;55,419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0,04445;-0,0004445;0,00042894;-0,002111;-0,00062148;-0,002174;0;0,039528;352,11;0;0;-281,47;70,64;-7,2212;-1,6145;2,4944;-6,4722E-05;-1,286;-0,28348;0;62,729;0;0;0;0;0;-0,18216;62,547;62,547;-0,15802;-6,97;0;0;55,419;55,419;
29.09. 09:00;0,06439;0,062929;12,94;0;641,86;729,42;0;87,564;87,564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0,06439;-0,0006439;0,00062135;-0,0030894;-0,00090008;-0,0030795;0;0,057299;510,41;0;0;-408,01;102,39;-8,2439;-2,2717;3,391;-9,4978E-05;-1,9054;-0,43875;0;92,926;0;0;0;0;0;-0,24324;92,682;92,682;-0,24909;-4,8692;0;0;87,564;87,564;
29.09. 10:00;0,07322;0,071455;13,3;0;639,3;740,14;0;100,84;100,84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0,07322;-0,0007322;0,00070656;-0,0035344;-0,001022;-0,0034699;0;0,065168;580,51;0;0;-464,05;116,46;-8,5939;-2,5184;3,6648;-0,00010819;-2,1802;-0,48942;0;106,34;0;0;0;0;0;-0,26472;106,07;106,07;-0,2862;-4,9506;0;0;100,84;100,84;
29.09. 11:00;0,08861;0,086582;13,54;0;632,02;756,2;0;124,18;124,18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0,08861;-0,0008861;0,00085507;-0,004282;-0,0012384;-0,0041774;0;0,078881;702,66;0;0;-561,7;140,96;-9,026;-3,0411;4,1963;-0,00013188;-2,6618;-0,5957;0;129,83;0;0;0;0;0;-0,29397;129,54;129,54;-0,35414;-5,0067;0;0;124,18;124,18;
29.09. 12:00;0,09412;0,09202;13,44;0;601,46;734,12;0;132,66;132,66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0,09412;-0,0009412;0,00090824;-0,0045399;-0,0013162;-0,0044313;0;0,0838;746,47;0;0;-596,72;149,75;-9,1255;-3,2335;4,4431;-0,00014053;-2,8367;-0,63898;0;138,36;0;0;0;0;0;-0,30196;138,06;138,06;-0,3774;-5,021;0;0;132,66;132,66;
29.09. 13:00;0,08043;0,078514;13,9;0;620,47;732,04;0;111,57;111,57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0,08043;-0,0008043;0,00077614;-0,0038713;-0,001123;-0,0037981;0;0,071609;637,89;0;0;-509,92;127,97;-8,8684;-2,766;3,7177;-0,00011895;-2,401;-0,5339;0;117,12;0;0;0;0;0;-0,27942;116,84;116,84;-0,31769;-4,946;0;0;111,57;111,57;
29.09. 14:00;0,08572;0,083963;14,22;0;600,71;720,08;0;119,37;119,37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0,08572;-0,0008572;0,00082719;-0,0041195;-0,001201;-0,0040641;0;0,076305;679,72;0;0;-543,36;136,36;-9,0338;-2,9825;3,7793;-0,00012735;-2,5625;-0,57806;0;124,98;0;0;0;0;0;-0,28876;124,69;124,69;-0,34143;-4,9848;0;0;119,37;119,37;
29.09. 15:00;0,05965;0,058356;13,97;0;616,11;696,06;0;79,946;79,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0,05965;-0,0005965;0,00057561;-0,0028555;-0,0008347;-0,0028704;0;0,053069;472,73;0;0;-377,89;94,836;-8,1394;-2,1106;2,8306;-8,7358E-05;-1,7483;-0,3883;0;85,28;0;0;0;0;0;-0,22935;85,051;85,051;-0,22777;-4,8773;0;0;79,946;79,946;
29.09. 16:00;0,03145;0,030696;14,05;0;600,67;634,58;0;33,91;33,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0,03145;-0,0003145;0,00030349;-0,0014893;-0,00043904;-0,001576;0;0,027935;248,84;0;0;-198,91;49,923;-6,3568;-1,1539;1,5171;-4,4647E-05;-0,87858;-0,18846;0;42,862;0;0;0;0;0;-0,13234;42,73;42,73;-0,099984;-8,72;0;0;33,91;33,91;
29.09. 17:00;0,00885;0,0086167;13,83;0;620,93;626,1;0;5,1655;5,1655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0,00885;-8,85E-05;8,54E-05;-0,0003785;-0,00012325;-0,00052006;0;0,0078251;69,705;0;0;-55,716;13,989;-3,3565;-0,32489;0,39863;-1,1764E-05;-0,21413;-0,040241;0;10,452;-0,048719;-0,0043572;0;0;0;-0,034803;10,364;10,364;-0,022861;-5,1657;-0,01;0;5,1655;5,1755;
29.09. 18:00;0;0;13,45;0;616,51;616,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.09. 19:00;0;0;12,61;0;551,43;551,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.09. 20:00;0;0;11,58;0;534,91;534,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.09. 21:00;0;0;12,71;0;489,81;489,54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.09. 22:00;0;0;12,56;0;408,57;408,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
29.09. 23:00;0;0;12,33;0;528,69;528,42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,48723;0,034216;0,48723;0,034216;0,99958;0,032029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,2739;0;-0,2739;0;
